date,ticker,target_weight,market_value
2020-01-02,AAPL,0.200000,20000.000000
2020-01-02,MSFT,0.200000,20000.000000
2020-01-02,SPY,0.200000,20000.000000
2020-01-02,TSLA,0.200000,20000.000000
2020-01-02,BTC-USD,0.200000,20000.000000
2020-02-03,AAPL,0.200000,20000.000000
2020-02-03,MSFT,0.200000,20000.000000
2020-02-03,SPY,0.200000,20000.000000
2020-02-03,TSLA,0.200000,20000.000000
2020-02-03,BTC-USD,0.200000,20000.000000
2020-03-04,AAPL,0.200000,20000.000000
2020-03-04,MSFT,0.200000,20000.000000
2020-03-04,SPY,0.200000,20000.000000
2020-03-04,TSLA,0.200000,20000.000000
2020-03-04,BTC-USD,0.200000,20000.000000
2020-04-02,AAPL,0.200000,20000.000000
2020-04-02,MSFT,0.200000,20000.000000
2020-04-02,SPY,0.200000,20000.000000
2020-04-02,TSLA,0.200000,20000.000000
2020-04-02,BTC-USD,0.200000,20000.000000
2020-05-04,AAPL,0.200000,20004.231755
2020-05-04,MSFT,0.200000,20004.231755
2020-05-04,SPY,0.200000,20004.231755
2020-05-04,TSLA,0.200000,20004.231755
2020-05-04,BTC-USD,0.200000,20004.231755
2020-06-03,AAPL,0.200000,21535.732188
2020-06-03,MSFT,0.200000,21535.732188
2020-06-03,SPY,0.200000,21535.732188
2020-06-03,TSLA,0.200000,21535.732188
2020-06-03,BTC-USD,0.200000,21535.732188
2020-07-02,AAPL,0.200000,25183.316812
2020-07-02,MSFT,0.200000,25183.316812
2020-07-02,SPY,0.200000,25183.316812
2020-07-02,TSLA,0.200000,25183.316812
2020-07-02,BTC-USD,0.200000,25183.316812
2020-08-03,AAPL,0.200000,27870.277669
2020-08-03,MSFT,0.200000,27870.277669
2020-08-03,SPY,0.200000,27870.277669
2020-08-03,TSLA,0.200000,27870.277669
2020-08-03,BTC-USD,0.200000,27870.277669
2020-09-01,AAPL,0.200000,34274.278649
2020-09-01,MSFT,0.200000,34274.278649
2020-09-01,SPY,0.200000,34274.278649
