schema_version,ticker,strategy,parameter_set,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,total_return,benchmark_gross_return,benchmark_net_return,excess_return,annualized_return,volatility,sharpe,max_drawdown,win_rate,profit_factor,num_trades,turnover,total_transaction_costs,cost_drag,average_trade_return
2,AAPL,RSI_Mean_Reversion,period=7;oversold=25;overbought=75,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.578621,2.514725,2.513315,-1.934694,0.079334,0.233675,0.442947,-0.248549,0.750000,2.006309,73,80.161454,12024.198020,0.120242,0.015525
2,AAPL,RSI_Mean_Reversion,period=7;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.195878,2.514725,2.513315,-2.317436,0.030364,0.225942,0.244725,-0.299668,0.642857,1.307736,85,76.291485,11443.702182,0.114437,0.007039
2,AAPL,RSI_Mean_Reversion,period=7;oversold=35;overbought=65,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.048564,2.514725,2.513315,-2.561879,-0.008290,0.226890,0.075982,-0.367272,0.551020,0.966991,99,82.576869,12386.509628,0.123865,0.000936
2,AAPL,RSI_Mean_Reversion,period=14;oversold=20;overbought=80,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.662568,2.514725,2.513315,-1.850746,0.088726,0.181473,0.558633,-0.224757,0.875000,6.542338,17,20.226711,3033.984479,0.030340,0.071500
2,AAPL,RSI_Mean_Reversion,period=14;oversold=25;overbought=75,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.772112,2.514725,2.513315,-1.741203,0.100405,0.227264,0.534335,-0.303116,0.769231,3.037910,27,39.047602,5857.118940,0.058571,0.051915
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.230576,2.514725,2.513315,-2.282739,0.035304,0.233560,0.264821,-0.302939,0.647059,1.576583,35,35.265848,5289.855040,0.052899,0.014286
2,AAPL,RSI_Mean_Reversion,period=14;oversold=35;overbought=65,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.170674,2.514725,2.513315,-1.342641,0.138375,0.225704,0.687009,-0.262854,0.740741,3.215518,55,73.193294,10978.974671,0.109790,0.033446
2,AAPL,RSI_Mean_Reversion,period=21;oversold=20;overbought=80,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.271398,2.514725,2.513315,-2.241917,0.040969,0.074912,0.573591,-0.086551,1.000000,999999.000000,4,4.355515,653.334249,0.006533,0.133245
2,AAPL,RSI_Mean_Reversion,period=21;oversold=25;overbought=75,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.254135,2.514725,2.513315,-2.259180,0.038592,0.176868,0.302099,-0.290187,0.800000,14.882267,10,10.787443,1618.123210,0.016181,0.049891
2,AAPL,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.344541,2.514725,2.513315,-2.168774,0.050752,0.227554,0.330980,-0.282959,0.666667,3.529049,18,20.208595,3031.298637,0.030313,0.036885
