ticker,strategy,parameter_set,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
MSFT,MA_Cross,short=20;long=50,0,10,0.452426,0.440121,41.779018,4177.951195,0.047090,106.076670
MSFT,MA_Cross,short=20;long=50,0,25,0.384260,0.394468,40.845375,10211.647764,0.115256,108.349311
MSFT,MA_Cross,short=20;long=50,5,0,0.476090,0.455299,42.119756,2105.987808,0.023426,106.616330
MSFT,MA_Cross,short=20;long=50,5,5,0.452426,0.440121,41.779265,4177.938840,0.047090,106.076949
MSFT,MA_Cross,short=20;long=50,5,10,0.429387,0.424805,41.475498,6221.373823,0.070130,106.841477
MSFT,MA_Cross,short=20;long=50,5,25,0.362153,0.379390,40.504235,12151.572939,0.137363,109.093875
MSFT,MA_Cross,short=20;long=50,10,0,0.452426,0.440121,41.779512,4177.951195,0.047090,106.076670
MSFT,MA_Cross,short=20;long=50,10,5,0.429387,0.424805,41.475744,6221.373823,0.070130,106.841477
MSFT,MA_Cross,short=20;long=50,10,10,0.406423,0.409586,41.150328,8230.114399,0.093093,107.315133
MSFT,MA_Cross,short=20;long=50,10,25,0.340001,0.363775,40.214464,14075.362722,0.159515,109.601455
MSFT,MA_Cross,short=20;long=50,20,0,0.406422,0.409586,41.150816,8230.163271,0.093094,107.314570
MSFT,MA_Cross,short=20;long=50,20,5,0.384261,0.394468,40.846348,10211.599127,0.115255,108.349768
MSFT,MA_Cross,short=20;long=50,20,10,0.362153,0.379390,40.504961,12151.536663,0.137363,109.094163
MSFT,MA_Cross,short=20;long=50,20,25,0.297342,0.333290,39.586212,17814.092690,0.202174,111.182637
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,0,1.075001,0.682966,57.306352,0.000000,0.000000,0.000000
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,5,1.039695,0.669117,56.801612,2840.059042,0.035306,152.240161
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,10,1.004830,0.655238,56.292602,5629.176666,0.070171,153.197621
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,25,0.903165,0.613625,54.772599,13692.672518,0.171836,156.399608
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,0,1.039695,0.669117,56.801181,2840.059042,0.035306,152.240161
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,5,1.004830,0.655238,56.292184,5629.197545,0.070171,153.197165
