schema_version,ticker,strategy,parameter_set,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,40,50,0.664681,0.534655,46.294199,41663.474588,0.534303,201.961271
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,0,0.293033,0.300492,36.113011,0.000000,0.000000,0.000000
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,5,0.271946,0.288618,35.834944,1791.724258,0.021087,69.482650
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,10,0.250911,0.276611,35.542443,3554.154177,0.042122,69.567508
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,25,0.190224,0.240930,34.697836,8673.923917,0.102809,71.256791
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,50,0.095606,0.181983,33.347616,16671.856034,0.197426,74.213202
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,0,0.271946,0.288618,35.834485,1791.724258,0.021087,69.482650
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,5,0.250910,0.276611,35.541992,3554.176713,0.042122,69.567136
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,10,0.230576,0.264821,35.266290,5289.855040,0.062457,70.376399
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,25,0.170788,0.229161,34.429882,10328.439512,0.122245,71.913008
