ticker,strategy,window_id,date,action,price,quantity,cost,slippage,portfolio_value,realized_pnl
AAPL,MACD_Momentum,0,2023-01-10,BUY,130.325125,729,95.007016,47.479768,99857.513216,0.000000
AAPL,MACD_Momentum,0,2023-02-22,SELL,148.795560,729,108.471963,54.263113,113261.468585,13261.468585
AAPL,MACD_Momentum,0,2023-03-17,BUY,156.158042,690,107.749049,53.847601,113099.871935,0.000000
AAPL,MACD_Momentum,0,2023-04-12,SELL,161.139391,690,111.186180,55.620900,116479.664434,3218.195849
AAPL,MACD_Momentum,0,2023-04-20,BUY,166.173041,660,109.674207,54.809699,116315.180528,0.000000
AAPL,MACD_Momentum,0,2023-04-21,SELL,164.967478,660,108.878536,54.466501,115465.439922,-1014.224511
AAPL,MACD_Momentum,0,2023-05-02,BUY,170.175041,646,109.933077,54.939069,115300.567777,0.000000
AAPL,MACD_Momentum,0,2023-05-03,SELL,169.415250,646,109.442252,54.748500,114755.239391,-710.200531
AAPL,MACD_Momentum,0,2023-05-08,BUY,172.566236,628,108.371596,54.158719,114592.709076,0.000000
AAPL,MACD_Momentum,0,2023-05-17,SELL,171.624152,628,107.779967,53.916942,113947.459066,-807.780325
AAPL,MACD_Momentum,0,2023-05-22,BUY,174.066986,618,107.573397,53.759819,113786.125850,0.000000
AAPL,MACD_Momentum,0,2023-05-23,SELL,173.043440,618,106.940846,53.497172,113100.393491,-847.065575
AAPL,MACD_Momentum,0,2023-06-01,BUY,177.788847,606,107.740041,53.843099,112938.810351,0.000000
AAPL,MACD_Momentum,0,2023-06-27,SELL,185.797054,606,112.593015,56.324670,117733.034145,4632.640654
AAPL,MACD_Momentum,0,2023-06-28,BUY,188.023958,594,111.686231,55.815208,117565.532707,0.000000
AAPL,MACD_Momentum,1,2023-08-28,BUY,180.180041,531,95.675602,47.813894,99856.510504,0.000000
AAPL,MACD_Momentum,1,2023-09-13,SELL,176.421740,531,93.679944,46.863404,97814.986185,-2185.013815
AAPL,MACD_Momentum,1,2023-10-05,BUY,173.876888,535,93.024135,46.488823,97675.473226,0.000000
AAPL,MACD_Momentum,1,2023-10-23,SELL,170.824549,535,91.391134,45.718426,95997.569218,-1817.416967
AAPL,MACD_Momentum,1,2023-11-03,BUY,174.327125,513,89.429815,44.692561,95863.446841,0.000000
AAPL,MACD_Momentum,1,2023-12-01,SELL,190.234837,513,97.590471,48.819645,103971.204845,7973.635628
AAPL,MACD_Momentum,1,2023-12-11,BUY,193.206556,504,97.376104,48.663720,103825.165021,0.000000
AAPL,MACD_Momentum,1,2023-12-12,SELL,192.983462,504,97.263665,48.656160,103664.125811,-307.079034
AAPL,MACD_Momentum,1,2023-12-14,BUY,198.119014,497,98.465150,49.207971,103516.452690,0.000000
AAPL,MACD_Momentum,1,2023-12-20,SELL,196.801544,497,97.810367,48.929648,102813.067518,-851.058294
AAPL,MACD_Momentum,2,2024-01-22,BUY,192.396153,495,95.236096,47.594251,99857.169653,0.000000
AAPL,MACD_Momentum,2,2024-02-01,SELL,183.898010,495,91.029515,45.537526,95607.153820,-4392.846180
AAPL,MACD_Momentum,2,2024-03-19,BUY,174.427166,522,91.050981,45.502739,95470.600101,0.000000
AAPL,MACD_Momentum,2,2024-04-22,SELL,165.437244,522,86.358242,43.200721,90737.005280,-4870.148541
AAPL,MACD_Momentum,2,2024-04-26,BUY,169.964945,507,86.172227,43.064581,90607.768471,0.000000
AAPL,MACD_Momentum,2,2024-05-30,SELL,190.664615,507,96.666960,48.357659,101048.898593,10311.893313
AAPL,MACD_Momentum,2,2024-06-06,BUY,195.787847,490,95.936045,47.944051,100905.018497,0.000000
AAPL,MACD_Momentum,2,2024-06-07,SELL,194.552669,490,95.330808,47.689249,100252.394254,-796.504339
AAPL,MACD_Momentum,2,2024-06-10,BUY,196.998444,483,95.150248,47.551349,100109.692657,0.000000
AAPL,MACD_Momentum,2,2024-06-11,SELL,193.553169,483,93.486181,46.766474,98399.690003,-1852.704251
AAPL,MACD_Momentum,2,2024-06-12,BUY,207.473680,451,93.570630,46.761934,98259.357439,0.000000
AAPL,MACD_Momentum,2,2024-06-26,SELL,211.394250,451,95.338807,47.693250,99978.957584,1579.267582
AAPL,MACD_Momentum,2,2024-07-03,BUY,220.110000,431,94.867410,47.410000,99836.680174,0.000000
AAPL,MACD_Momentum,3,2024-08-22,BUY,227.903888,419,95.491729,47.722004,99856.786267,0.000000
AAPL,MACD_Momentum,3,2024-09-04,SELL,221.549174,419,92.829104,46.437771,97149.053740,-2850.946260
AAPL,MACD_Momentum,3,2024-09-25,BUY,225.042458,405,91.142195,45.548324,97012.363221,0.000000
AAPL,MACD_Momentum,3,2024-10-08,SELL,224.187853,405,90.796080,45.420751,96621.000593,-528.053148
AAPL,MACD_Momentum,3,2024-10-15,BUY,233.726806,396,92.555815,46.254780,96482.189997,0.000000
