path,total_return,terminal_wealth,max_drawdown,sharpe
302,1.14389,214389,-0.30135,0.754727
303,-0.349141,65085.9,-0.423325,-0.288346
304,-0.124967,87503.3,-0.488005,-0.0367247
305,2.05849,305849,-0.246757,1.07706
306,2.82182,382182,-0.23275,1.18125
307,0.0973151,109732,-0.386603,0.177186
308,0.366104,136610,-0.223923,0.370566
309,1.89612,289612,-0.22455,1.11885
310,0.281803,128180,-0.287036,0.314216
311,0.568505,156850,-0.301595,0.480787
312,0.762992,176299,-0.18297,0.621114
313,0.0258969,102590,-0.376447,0.117793
314,0.657367,165737,-0.295694,0.562625
315,1.74526,274526,-0.234663,0.998347
316,0.740394,174039,-0.300515,0.587763
317,0.160274,116027,-0.270227,0.227227
318,0.163029,116303,-0.336706,0.22898
319,2.21903,321903,-0.157048,1.20127
320,1.11616,211616,-0.352281,0.752613
321,-0.00732366,99267.6,-0.382957,0.0907465
322,-0.15054,84946,-0.331745,-0.0469785
323,-0.330885,66911.5,-0.406422,-0.257075
324,0.185621,118562,-0.305595,0.244463
325,2.24284,324284,-0.307023,1.14391
326,-0.00467649,99532.4,-0.364843,0.089916
327,0.61843,161843,-0.253803,0.530958
328,-0.397971,60202.9,-0.540541,-0.384926
329,0.376266,137627,-0.422599,0.378904
330,0.341839,134184,-0.238449,0.354312
331,-0.0680707,93192.9,-0.384547,0.0474892
332,0.955764,195576,-0.21061,0.693091
333,1.0299,202990,-0.217212,0.738212
334,0.59914,159914,-0.452911,0.493517
335,-0.0190936,98090.6,-0.351784,0.0790309
336,1.30412,230412,-0.214163,0.830584
337,1.70242,270242,-0.355536,0.908223
338,0.244588,124459,-0.309859,0.297236
339,-0.358639,64136.1,-0.584229,-0.283561
340,0.11281,111281,-0.502107,0.189737
341,-0.348214,65178.6,-0.489657,-0.278661
342,0.386633,138663,-0.429633,0.37823
343,0.390505,139051,-0.381667,0.403395
344,0.663583,166358,-0.274153,0.531032
345,1.21856,221856,-0.299401,0.802764
346,1.2635,226350,-0.279275,0.852641
347,0.756406,175641,-0.203069,0.634908
348,2.29749,329749,-0.251193,1.13972
349,0.351781,135178,-0.39527,0.363148
350,0.310715,131072,-0.470611,0.333794
351,0.417626,141763,-0.226249,0.41009
352,0.279251,127925,-0.376138,0.313053
353,-0.170114,82988.6,-0.463522,-0.0875485
354,0.998608,199861,-0.336007,0.700972
355,0.990211,199021,-0.405158,0.697224
356,0.456943,145694,-0.24399,0.417124
357,-0.168338,83166.2,-0.520439,-0.063688
358,0.215077,121508,-0.382654,0.264525
359,0.93873,193873,-0.248373,0.675747
360,0.201782,120178,-0.474691,0.261559
361,-0.432651,56734.9,-0.491547,-0.436586
362,0.389528,138953,-0.424032,0.384178
363,0.545932,154593,-0.29696,0.48563
364,0.355384,135538,-0.385197,0.356424
365,0.98251,198251,-0.305167,0.701405
366,-0.778731,22126.9,-0.781122,-1.20169
367,0.688268,168827,-0.307532,0.561343
368,0.293673,129367,-0.350331,0.325801
369,1.00169,200169,-0.369484,0.747109
370,4.20652,520652,-0.126223,1.55919
371,2.87765,387765,-0.15919,1.38175
372,0.234612,123461,-0.30493,0.280632
373,0.207276,120728,-0.274606,0.266991
374,0.830616,183062,-0.257698,0.644834
375,0.325105,132510,-0.319884,0.339321
376,0.219823,121982,-0.331522,0.273061
377,0.432255,143226,-0.235059,0.410528
378,0.686072,168607,-0.326058,0.572277
379,0.331121,133112,-0.396283,0.349261
380,0.312744,131274,-0.463254,0.340016
381,0.132051,113205,-0.376386,0.204204
382,0.883704,188370,-0.185039,0.676158
383,0.369172,136917,-0.236851,0.389258
384,0.29797,129797,-0.380205,0.318858
385,0.281315,128132,-0.240807,0.323382
386,0.0863698,108637,-0.258078,0.167987
387,0.606834,160683,-0.243662,0.512486
388,1.69404,269404,-0.250152,0.949177
389,0.885989,188599,-0.235678,0.666369
390,0.118839,111884,-0.423323,0.194368
391,-0.222672,77732.8,-0.530068,-0.124719
392,0.0922853,109229,-0.337162,0.172204
393,0.897067,189707,-0.30188,0.706923
394,-0.259899,74010.1,-0.459339,-0.172231
395,-0.0187997,98120,-0.482328,0.0708014
396,-0.210753,78924.7,-0.361207,-0.12981
397,0.289966,128997,-0.320408,0.31332
398,-0.377797,62220.3,-0.457425,-0.318289
399,0.281651,128165,-0.261816,0.319628
400,1.12942,212942,-0.217197,0.775265
401,1.0299,202990,-0.25764,0.7432
402,0.501505,150151,-0.237006,0.464908
403,0.0766717,107667,-0.318859,0.157469
404,-0.0919766,90802.3,-0.406185,0.00466458
405,0.95416,195416,-0.263969,0.711161
406,1.21779,221779,-0.226006,0.833396
407,-0.235588,76441.2,-0.440101,-0.160996
408,-0.24064,75936,-0.475544,-0.124722
409,0.171701,117170,-0.529259,0.236514
410,0.259503,125950,-0.323211,0.29448
411,0.293023,129302,-0.334788,0.327551
412,0.814938,181494,-0.366141,0.628896
413,1.63181,263181,-0.172797,0.972773
414,0.0749173,107492,-0.338579,0.157287
415,0.964541,196454,-0.282569,0.649102
416,-0.00255124,99744.9,-0.396126,0.0836743
417,0.23343,123343,-0.237358,0.293467
418,0.298856,129886,-0.293126,0.340456
419,0.0208812,102088,-0.301546,0.114296
420,0.391287,139129,-0.238852,0.377035
421,0.484106,148411,-0.331753,0.434226
422,-0.405013,59498.7,-0.482755,-0.342969
423,0.266828,126683,-0.221988,0.302486
424,0.0774358,107744,-0.397201,0.159697
425,1.738,273800,-0.249652,1.02197
426,0.694215,169422,-0.195637,0.588542
427,1.00789,200789,-0.269586,0.689155
428,0.0854787,108548,-0.356494,0.169921
429,0.733248,173325,-0.344482,0.586157
430,0.223938,122394,-0.40657,0.272803
431,0.320765,132076,-0.413564,0.340862
432,0.38026,138026,-0.305697,0.390194
433,0.15356,115356,-0.281228,0.222297
434,0.148534,114853,-0.398037,0.21692
435,0.344148,134415,-0.375428,0.367077
436,0.0354156,103542,-0.249397,0.122478
437,0.381161,138116,-0.241572,0.378371
438,-0.289038,71096.2,-0.615356,-0.17635
439,-0.344881,65511.9,-0.460068,-0.265641
440,-0.103962,89603.8,-0.500508,-0.01159
441,0.458115,145812,-0.239403,0.437928
442,0.014335,101434,-0.347324,0.102954
443,0.436458,143646,-0.418607,0.422031
444,0.0730536,107305,-0.29413,0.154707
445,-0.097963,90203.7,-0.448296,-0.0183888
446,-0.036765,96323.5,-0.384234,0.0512536
447,0.189795,118979,-0.316026,0.249757
448,0.116534,111653,-0.492854,0.192918
449,1.37251,237251,-0.18482,0.906709
450,0.960929,196093,-0.24943,0.665737
451,-0.205196,79480.4,-0.548727,-0.128365
452,0.17434,117434,-0.300914,0.239367
453,-0.102343,89765.7,-0.492241,-0.0152357
454,0.194683,119468,-0.322057,0.258069
455,0.528087,152809,-0.344242,0.480981
456,1.23802,223802,-0.227735,0.814764
457,0.153176,115318,-0.342708,0.220344
458,-0.285877,71412.3,-0.528699,-0.205214
459,0.680373,168037,-0.25496,0.572284
460,0.619882,161988,-0.264759,0.515097
461,0.346243,134624,-0.276683,0.357409
462,2.60579,360579,-0.197969,1.24457
463,0.225758,122576,-0.283797,0.277501
464,0.119843,111984,-0.402045,0.195339
465,0.731063,173106,-0.275108,0.588575
466,-0.279496,72050.4,-0.488791,-0.169786
467,1.16393,216393,-0.223514,0.829567
468,-0.257948,74205.2,-0.555262,-0.171049
469,0.401018,140102,-0.200671,0.405495
470,-0.208589,79141.1,-0.346209,-0.092809
471,0.287462,128746,-0.333755,0.330203
472,1.15963,215963,-0.397097,0.774791
473,-0.209239,79076.1,-0.461697,-0.131865
474,1.47204,247204,-0.324247,0.904525
475,3.68724,468724,-0.233758,1.51312
476,0.343387,134339,-0.340946,0.361705
477,1.36388,236388,-0.233766,0.873974
478,-0.175799,82420.1,-0.49057,-0.0853573
479,1.40583,240583,-0.176032,0.918313
480,1.31721,231721,-0.268581,0.817035
481,1.80589,280589,-0.343391,1.00493
482,0.877877,187788,-0.191985,0.682406
483,1.96077,296077,-0.178116,1.14031
484,0.950869,195087,-0.448365,0.729905
485,1.4493,244930,-0.379014,0.877844
486,0.715874,171587,-0.271909,0.609261
487,0.49799,149799,-0.239069,0.444035
488,1.24983,224983,-0.283252,0.822157
489,0.0363096,103631,-0.345944,0.129137
490,0.352666,135267,-0.2739,0.379802
491,0.857235,185724,-0.223899,0.644842
492,0.188026,118803,-0.22466,0.247778
493,0.274491,127449,-0.389724,0.311516
494,0.0716946,107169,-0.294873,0.15345
495,0.935588,193559,-0.373219,0.659253
496,0.26476,126476,-0.354686,0.302776
497,-0.185042,81495.8,-0.430891,-0.10901
498,-0.460976,53902.4,-0.53659,-0.451933
499,1.16813,216813,-0.334091,0.803395
500,0.41137,141137,-0.336369,0.421213
501,0.0976248,109762,-0.434847,0.177843
502,1.48019,248019,-0.273608,0.929431
503,0.222134,122213,-0.246748,0.27531
504,0.468587,146859,-0.417033,0.436435
505,0.970342,197034,-0.352744,0.748479
506,0.0548012,105480,-0.488317,0.147997
507,0.633898,163390,-0.314073,0.550418
508,0.604003,160400,-0.359764,0.510076
509,0.890341,189034,-0.206192,0.658861
510,0.954805,195480,-0.259363,0.661557
