ticker,strategy,parameter_set,start_date,end_date,total_return,benchmark_net_return,excess_return,sharpe,sortino,max_drawdown,calmar,turnover,total_costs,trade_count,win_rate,profit_factor
MSFT,MA_Cross,short=30;long=150,full,full,0.523039,2.025898,-1.502859,0.624449,0.564981,-0.196060,0.371744,8.192609,1228.904733,6,0.666667,4.670766
MSFT,MA_Cross,short=30;long=200,full,full,0.577497,2.025898,-1.448401,0.653768,0.596647,-0.188183,0.420898,6.831043,1024.633077,5,0.500000,5.124118
SPY,MA_Cross,short=5;long=50,full,full,0.464070,1.108388,-0.644318,0.608470,0.667020,-0.212924,0.309141,51.605493,7740.803033,45,0.454545,1.882691
SPY,MA_Cross,short=5;long=100,full,full,0.722466,1.108388,-0.385922,0.860720,0.971311,-0.237091,0.401487,27.008102,4051.193332,23,0.454545,3.288161
SPY,MA_Cross,short=5;long=150,full,full,0.349407,1.108388,-0.758981,0.637895,0.621251,-0.117789,0.436261,13.703915,2055.564278,15,0.285714,2.297518
SPY,MA_Cross,short=5;long=200,full,full,0.431079,1.108388,-0.677309,0.768832,0.730318,-0.096706,0.638732,10.574835,1586.202310,11,0.400000,4.313555
SPY,MA_Cross,short=10;long=50,full,full,0.575339,1.108388,-0.533049,0.713977,0.802637,-0.158805,0.497206,36.958548,5543.760527,31,0.466667,3.207176
SPY,MA_Cross,short=10;long=100,full,full,0.835978,1.108388,-0.272410,0.944920,1.075266,-0.205146,0.521285,21.358792,3203.797012,17,0.375000,3.993944
SPY,MA_Cross,short=10;long=150,full,full,0.279963,1.108388,-0.828425,0.521434,0.493607,-0.159576,0.264067,14.999277,2249.868674,17,0.250000,1.625447
SPY,MA_Cross,short=10;long=200,full,full,0.394554,1.108388,-0.713834,0.706256,0.680480,-0.112362,0.508965,10.395069,1559.237633,11,0.600000,3.784902
SPY,MA_Cross,short=20;long=50,full,full,0.501238,1.108388,-0.607150,0.642734,0.690073,-0.294990,0.238316,29.649216,4447.360330,25,0.500000,1.669114
SPY,MA_Cross,short=20;long=100,full,full,0.786281,1.108388,-0.322107,0.891863,0.996119,-0.198732,0.512607,16.160524,2424.056167,13,0.666667,3.605189
SPY,MA_Cross,short=20;long=150,full,full,0.381635,1.108388,-0.726753,0.698661,0.658483,-0.103531,0.536500,6.880099,1031.991599,7,0.666667,4.797038
SPY,MA_Cross,short=20;long=200,full,full,0.634251,1.108388,-0.474137,1.042365,1.001454,-0.098050,0.873060,5.607178,841.053384,5,1.000000,999999.000000
SPY,MA_Cross,short=30;long=50,full,full,0.559377,1.108388,-0.549011,0.684882,0.730124,-0.322095,0.239442,30.207957,4531.171465,25,0.500000,1.613616
SPY,MA_Cross,short=30;long=100,full,full,0.823624,1.108388,-0.284764,0.913905,1.025251,-0.201524,0.524457,11.489329,1723.376335,9,0.750000,4.838393
SPY,MA_Cross,short=30;long=150,full,full,0.380697,1.108388,-0.727691,0.693101,0.660490,-0.098398,0.563272,7.016640,1052.472796,7,0.333333,11.903088
SPY,MA_Cross,short=30;long=200,full,full,0.490237,1.108388,-0.618152,0.849915,0.778590,-0.116789,0.590680,3.445577,516.813449,3,1.000000,999999.000000
TSLA,MA_Cross,short=5;long=50,full,full,6.423444,14.795173,-8.371730,0.989148,1.152536,-0.459659,0.866385,192.526293,28878.935804,41,0.550000,2.788937
TSLA,MA_Cross,short=5;long=100,full,full,0.373230,14.795173,-14.421943,0.327078,0.347939,-0.539258,0.101005,21.095057,3164.235375,27,0.307692,1.082554
TSLA,MA_Cross,short=5;long=150,full,full,0.334088,14.795173,-14.461085,0.312211,0.308547,-0.544698,0.090658,24.474881,3671.208936,25,0.333333,0.991780
TSLA,MA_Cross,short=5;long=200,full,full,-0.098190,14.795173,-14.893363,0.131681,0.135133,-0.652402,-0.026263,26.256286,3938.419789,29,0.214286,0.569509
TSLA,MA_Cross,short=10;long=50,full,full,3.531522,14.795173,-11.263651,0.830473,0.913274,-0.486675,0.590680,89.814001,13472.083698,31,0.600000,2.571403
TSLA,MA_Cross,short=10;long=100,full,full,0.170327,14.795173,-14.624846,0.256277,0.271158,-0.647853,0.041135,14.378909,2156.813037,19,0.333333,0.861755
TSLA,MA_Cross,short=10;long=150,full,full,0.194219,14.795173,-14.600954,0.259794,0.258833,-0.594656,0.050660,16.881104,2532.142078,19,0.333333,0.777249
TSLA,MA_Cross,short=10;long=200,full,full,-0.248363,14.795173,-15.043536,0.053343,0.053964,-0.699532,-0.066644,18.048001,2707.176527,23,0.090909,0.353601
TSLA,MA_Cross,short=20;long=50,full,full,3.290489,14.795173,-11.504684,0.774475,0.902940,-0.548717,0.502546,84.684654,12702.679333,31,0.666667,2.539208
TSLA,MA_Cross,short=20;long=100,full,full,0.128550,14.795173,-14.666623,0.239885,0.252203,-0.659268,0.030986,14.422572,2163.362449,17,0.375000,0.894842
