regime,ticker,strategy,return,sharpe,drawdown,trade_count,win_rate,profit_factor,benchmark_relative_performance,average_exposure
bull/high_volatility,SPY,RSI_Mean_Reversion,0.409135,4.889424,-0.014556,7,1.000000,28029.790478,-0.200519,0.273128
bear/low_volatility,SPY,RSI_Mean_Reversion,-0.033364,-5.459014,-0.059195,0,0.000000,0.000000,0.002128,1.000000
bear/high_volatility,SPY,RSI_Mean_Reversion,-0.164699,-0.695734,-0.266323,4,0.000000,0.000000,0.101174,0.831731
sideways/low_volatility,SPY,RSI_Mean_Reversion,-0.080915,-4.295032,-0.082915,2,0.000000,0.000000,0.060689,0.743590
sideways/high_volatility,SPY,RSI_Mean_Reversion,0.119905,1.770524,-0.065649,5,0.500000,0.903262,-0.000096,0.516393
bull/low_volatility,SPY,MACD_Momentum,-0.017257,-0.066662,-0.080537,73,0.461538,1.773553,-0.821490,0.518571
bull/high_volatility,SPY,MACD_Momentum,0.169179,1.827186,-0.045137,21,0.300000,2.061156,-0.440475,0.577093
bear/low_volatility,SPY,MACD_Momentum,-0.016595,-6.520284,-0.016595,1,0.000000,0.000000,0.018897,0.090909
bear/high_volatility,SPY,MACD_Momentum,-0.185094,-1.349719,-0.225720,15,0.142857,0.095976,0.080779,0.509615
sideways/low_volatility,SPY,MACD_Momentum,-0.015700,-1.960565,-0.021558,1,0.000000,0.000000,0.125904,0.205128
sideways/high_volatility,SPY,MACD_Momentum,0.130267,2.191253,-0.038863,7,1.000000,12333.607784,0.010266,0.508197
bull/low_volatility,TSLA,MA_Cross,1.384607,1.403652,-0.347720,8,1.000000,222899.316497,-3.197837,0.779817
bull/high_volatility,TSLA,MA_Cross,1.094922,1.951292,-0.215011,3,1.000000,152350.204824,-2.096377,0.770492
bear/low_volatility,TSLA,MA_Cross,-0.156221,-1.303008,-0.210048,3,0.000000,0.000000,0.520642,0.167665
bear/high_volatility,TSLA,MA_Cross,-0.131778,-0.935708,-0.182709,3,0.000000,0.000000,-0.121239,0.080645
sideways/low_volatility,TSLA,MA_Cross,-0.490930,-1.739629,-0.522352,10,0.800000,5.039758,0.160464,0.642308
sideways/high_volatility,TSLA,MA_Cross,-0.175758,-1.004802,-0.205393,3,0.000000,0.000000,-0.340326,0.480000
bull/low_volatility,TSLA,RSI_Mean_Reversion,0.755320,1.490045,-0.221109,11,1.000000,89215.300865,-3.827124,0.233945
bull/high_volatility,TSLA,RSI_Mean_Reversion,2.948327,4.049681,-0.094220,4,1.000000,123862.360462,-0.242972,0.322404
bear/low_volatility,TSLA,RSI_Mean_Reversion,-0.625212,-3.245503,-0.625212,3,1.000000,10336.537241,0.051650,0.862275
bear/high_volatility,TSLA,RSI_Mean_Reversion,-0.219398,-0.097300,-0.439367,4,0.000000,0.000000,-0.208859,0.887097
sideways/low_volatility,TSLA,RSI_Mean_Reversion,0.041720,0.281333,-0.309290,11,1.000000,81239.476468,0.693114,0.407692
sideways/high_volatility,TSLA,RSI_Mean_Reversion,0.310595,1.897162,-0.169389,3,0.000000,0.000000,0.146027,0.653333
