schema_version,window_mode,continuity_policy,ticker,strategy,window_id,date,action,price,quantity,cost,slippage,portfolio_value,realized_pnl
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-04,BUY,126.953444,759,96.357664,48.154755,99855.487581,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-25,SELL,140.819554,759,106.882042,53.467755,110321.137784,10321.137784
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,2023-08-07,BUY,182.221070,575,104.777115,52.362376,110163.998293,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,2023-09-06,SELL,188.305794,575,108.275831,54.164998,113606.801146,3285.663362
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,2023-09-13,BUY,176.598250,612,108.078129,54.012058,113444.710959,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,2023-10-09,SELL,176.721593,612,108.153615,54.103859,113466.055353,-140.745793
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,2023-10-23,BUY,170.995459,623,106.530171,53.238466,113306.286716,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,2023-11-07,SELL,179.090403,623,111.573321,55.814568,118291.101983,4825.046630
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,2023-12-26,BUY,193.706806,580,112.349947,56.146900,118122.605135,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,1,2023-12-29,SELL,192.433734,580,111.611566,55.833700,117328.758808,-962.343175
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,2,2024-01-03,BUY,184.312111,600,110.587267,55.266000,117162.905541,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,2,2024-01-26,SELL,194.172869,600,116.503722,58.281001,123018.122649,5689.363841
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,2,2024-02-01,BUY,184.082000,633,116.523906,58.232837,122843.365906,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,2,2024-05-10,SELL,184.807544,633,116.983175,58.520848,123243.884542,225.761893
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,3,2024-07-25,BUY,219.039458,535,117.186110,58.563773,123068.134659,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,3,2024-08-15,SELL,224.487706,535,120.100923,60.080502,125921.410419,2677.525877
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,3,2024-09-11,BUY,221.570737,543,120.312910,60.126392,125740.971117,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,3,2024-09-27,SELL,228.345777,543,123.991757,62.026892,129355.952468,3434.542050
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,3,2024-11-01,BUY,221.080486,543,120.046704,59.993355,129175.912409,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,3,2024-11-27,SELL,234.352766,543,127.253552,63.658605,136315.500251,6959.547783
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-01-06,BUY,244.432153,532,130.037905,64.986459,136120.475887,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-01-31,SELL,247.066407,532,131.439329,65.752541,137455.446615,1139.946364
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-03-12,BUY,220.250069,591,130.167791,65.051370,137260.227454,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-03-25,SELL,220.659619,591,130.409835,65.237536,137436.912969,-18.533646
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-04-07,BUY,177.288597,693,122.860998,61.399799,137252.652172,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-04-29,SELL,208.585657,693,144.549861,72.311086,158858.365033,21421.452064
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-05-08,BUY,197.818861,768,151.924885,75.924480,158630.515667,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-05-15,SELL,210.844522,768,161.928593,81.004799,168548.218994,9689.853961
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-05-22,BUY,200.810362,792,159.041806,79.481163,168309.696025,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,4,2025-06-05,SELL,203.398250,792,161.091414,80.586000,170277.693293,1729.474299
2,calendar_duration,continuous_capital,MSFT,RSI_Mean_Reversion,0,2023-01-05,BUY,227.313597,414,94.107829,47.030399,99858.861771,0.000000
2,calendar_duration,continuous_capital,MSFT,RSI_Mean_Reversion,0,2023-01-27,SELL,248.865510,414,103.030321,51.540931,108725.354057,8725.354057
