schema_version,window_mode,continuity_policy,ticker,strategy,window_id,date,portfolio_value,cash,holdings,total_return,cumulative_oos_return,drawdown
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-04,99453.218507,3545.978044,95907.240463,-0.005468,-0.005468,-0.005468
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-05,98436.155496,3545.978044,94890.177452,-0.015638,-0.015638,-0.015638
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-06,101927.554338,3545.978044,98381.576294,0.019276,0.019276,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-09,102329.823412,3545.978044,98783.845367,0.023298,0.023298,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-10,102770.044801,3545.978044,99224.066757,0.027700,0.027700,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-11,104864.892214,3545.978044,101318.914169,0.048649,0.048649,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-12,104804.170824,3545.978044,101258.192780,0.048042,0.048042,-0.000579
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-13,105828.813875,3545.978044,102282.835831,0.058288,0.058288,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-17,106724.439897,3545.978044,103178.461853,0.067244,0.067244,0.000000
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-18,106170.373140,3545.978044,102624.395096,0.061704,0.061704,-0.005192
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-19,106215.911287,3545.978044,102669.933243,0.062159,0.062159,-0.004765
2,calendar_duration,continuous_capital,AAPL,RSI_Mean_Reversion,0,2023-01-20,108189.304338,3545.978044,104643.326294,0.081893,0.081893,0.000000
