ticker,strategy,window_id,date,action,price,quantity,cost,slippage,portfolio_value,realized_pnl
AAPL,RSI_Mean_Reversion,0,2023-01-04,BUY,126.953444,759,96.357664,48.154755,99855.487581,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-25,SELL,140.819554,759,106.882042,53.467755,110321.137784,10321.137784
AAPL,RSI_Mean_Reversion,1,2023-08-07,BUY,182.221070,522,95.119398,47.535931,99857.344670,0.000000
AAPL,RSI_Mean_Reversion,1,2023-09-06,SELL,188.305794,522,98.295624,49.172398,102982.810913,2982.810913
AAPL,RSI_Mean_Reversion,1,2023-09-13,BUY,176.598250,554,97.835430,48.893268,102836.082214,0.000000
AAPL,RSI_Mean_Reversion,1,2023-10-09,SELL,176.721593,554,97.903762,48.976369,102855.403773,-127.407140
AAPL,RSI_Mean_Reversion,1,2023-10-23,BUY,170.995459,565,96.612434,48.282076,102710.509263,0.000000
AAPL,RSI_Mean_Reversion,1,2023-11-07,SELL,179.090403,565,101.186078,50.618348,107231.248630,4375.844857
AAPL,RSI_Mean_Reversion,1,2023-12-26,BUY,193.706806,526,101.889780,50.919430,107078.439420,0.000000
AAPL,RSI_Mean_Reversion,2,2024-01-05,BUY,182.081000,522,95.046282,47.499391,99857.454326,0.000000
AAPL,RSI_Mean_Reversion,2,2024-01-26,SELL,194.172869,522,101.358238,50.704471,106115.550980,6115.550980
AAPL,RSI_Mean_Reversion,2,2024-02-01,BUY,184.082000,546,100.508772,50.229271,105964.812936,0.000000
AAPL,RSI_Mean_Reversion,2,2024-05-10,SELL,184.807544,546,100.904919,50.477698,106310.283987,194.733007
AAPL,RSI_Mean_Reversion,3,2024-07-25,BUY,219.039458,434,95.063125,47.507808,99857.429067,0.000000
AAPL,RSI_Mean_Reversion,3,2024-08-15,SELL,224.487706,434,97.427664,48.738201,102172.049029,2172.049029
AAPL,RSI_Mean_Reversion,3,2024-09-11,BUY,221.570737,440,97.491124,48.721201,102025.836703,0.000000
AAPL,RSI_Mean_Reversion,3,2024-09-27,SELL,228.345777,440,100.472142,50.261201,104955.103360,2783.054331
AAPL,RSI_Mean_Reversion,3,2024-11-01,BUY,221.080486,441,97.496494,48.723885,104808.882980,0.000000
AAPL,RSI_Mean_Reversion,3,2024-11-27,SELL,234.352766,441,103.349570,51.700635,110607.332775,5652.229415
AAPL,RSI_Mean_Reversion,4,2025-01-07,BUY,243.101486,387,94.080275,47.016629,99858.903096,0.000000
AAPL,RSI_Mean_Reversion,4,2025-01-31,SELL,247.066407,387,95.614700,47.831265,101344.729729,1344.729729
