ticker,strategy,window_id,date,portfolio_value,cash,holdings,total_return,drawdown
AAPL,RSI_Mean_Reversion,0,2023-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-04,99453.218507,3545.978044,95907.240463,-0.005468,-0.005468
AAPL,RSI_Mean_Reversion,0,2023-01-05,98436.155496,3545.978044,94890.177452,-0.015638,-0.015638
AAPL,RSI_Mean_Reversion,0,2023-01-06,101927.554338,3545.978044,98381.576294,0.019276,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-09,102329.823412,3545.978044,98783.845367,0.023298,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-10,102770.044801,3545.978044,99224.066757,0.027700,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-11,104864.892214,3545.978044,101318.914169,0.048649,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-12,104804.170824,3545.978044,101258.192780,0.048042,-0.000579
AAPL,RSI_Mean_Reversion,0,2023-01-13,105828.813875,3545.978044,102282.835831,0.058288,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-17,106724.439897,3545.978044,103178.461853,0.067244,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-18,106170.373140,3545.978044,102624.395096,0.061704,-0.005192
AAPL,RSI_Mean_Reversion,0,2023-01-19,106215.911287,3545.978044,102669.933243,0.062159,-0.004765
AAPL,RSI_Mean_Reversion,0,2023-01-20,108189.304338,3545.978044,104643.326294,0.081893,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-23,110648.468507,3545.978044,107102.490463,0.106485,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-24,111726.247118,3545.978044,108180.269073,0.117262,0.000000
AAPL,RSI_Mean_Reversion,0,2023-01-25,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-01-26,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-01-27,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-01-30,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-01-31,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-01,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-02,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-03,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-06,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-07,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-08,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-09,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-10,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-13,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-14,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-15,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-16,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-17,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-21,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-22,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-23,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-24,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-27,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-02-28,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-01,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-02,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-03,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-06,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-07,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-08,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-09,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-10,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-13,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-14,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-15,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-16,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-17,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-20,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-21,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-22,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-23,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-24,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-27,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-28,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-29,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-30,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-03-31,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-03,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-04,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-05,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-06,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-10,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-11,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-12,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-13,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-14,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-17,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-18,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-19,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-20,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-21,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-24,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-25,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-26,110321.137784,110321.137784,0.000000,0.103211,-0.012576
AAPL,RSI_Mean_Reversion,0,2023-04-27,110321.137784,110321.137784,0.000000,0.103211,-0.012576
