schema_version,window_mode,continuity_policy,ticker,strategy,window_id,date,action,price,quantity,cost,slippage,portfolio_value,realized_pnl
2,calendar_duration,continuous_capital,AAPL,MA_Cross,0,2023-01-26,BUY,143.241583,669,95.828619,47.890364,99856.281016,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,0,2023-06-30,SELL,193.873016,669,129.701048,64.882965,133646.899045,33646.899045
2,calendar_duration,continuous_capital,AAPL,MA_Cross,1,2023-09-06,BUY,188.494194,669,126.102616,63.019798,133457.776631,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,1,2023-09-08,SELL,178.260831,669,119.256496,59.658077,126555.420225,-7091.478820
2,calendar_duration,continuous_capital,AAPL,MA_Cross,1,2023-10-13,BUY,181.510708,665,120.704621,60.322149,126374.393454,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,1,2023-10-20,SELL,175.222343,665,116.522858,58.290574,122136.429616,-4418.990608
2,calendar_duration,continuous_capital,AAPL,MA_Cross,1,2023-11-08,BUY,182.441181,638,116.397474,58.169652,121961.862491,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,1,2023-12-29,SELL,192.433734,638,122.772722,61.417070,128272.508026,6136.078410
2,calendar_duration,continuous_capital,AAPL,MA_Cross,2,2024-01-24,BUY,195.517708,624,122.003050,60.971039,128089.533937,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,2,2024-02-01,SELL,183.898010,624,114.752359,57.404882,120785.061267,-7487.446759
2,calendar_duration,continuous_capital,AAPL,MA_Cross,2,2024-05-06,BUY,182.441181,625,114.025738,56.984377,120614.051152,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,2,2024-07-01,SELL,216.641625,625,135.401016,67.734375,141910.911947,21125.850680
2,calendar_duration,continuous_capital,AAPL,MA_Cross,3,2024-08-20,BUY,225.882889,596,134.626202,67.279461,141709.006283,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,3,2024-09-16,SELL,216.431723,596,128.993307,64.528918,136014.397510,-5896.514436
2,calendar_duration,continuous_capital,AAPL,MA_Cross,3,2024-09-24,BUY,228.764319,570,130.395662,65.165248,135818.836600,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,3,2024-11-12,SELL,224.437728,570,127.929505,63.996751,133289.915563,-2724.481947
2,calendar_duration,continuous_capital,AAPL,MA_Cross,3,2024-11-27,BUY,234.587236,538,126.207933,63.072430,133100.635200,0.000000
2,calendar_duration,continuous_capital,AAPL,MA_Cross,3,2024-12-31,SELL,250.294788,538,134.658596,67.362980,141479.711982,8189.796419
2,calendar_duration,continuous_capital,MSFT,MA_Cross,0,2023-01-27,BUY,249.114500,383,95.410854,47.681586,99856.907560,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,0,2023-06-30,SELL,340.369739,383,130.361610,65.213412,134724.983708,34724.983708
2,calendar_duration,continuous_capital,MSFT,MA_Cross,1,2023-08-24,BUY,333.016431,391,130.209425,65.072176,134529.702107,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,1,2023-09-22,SELL,321.159347,391,125.573305,62.818061,129833.081218,-4891.902490
2,calendar_duration,continuous_capital,MSFT,MA_Cross,1,2023-10-18,BUY,332.656235,371,123.415463,61.676893,129647.988861,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,1,2023-10-19,SELL,331.983919,371,123.166034,61.613824,129337.070362,-496.010856
2,calendar_duration,continuous_capital,MSFT,MA_Cross,1,2023-10-26,BUY,340.710279,360,122.655700,61.297202,129153.117460,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,1,2023-12-29,SELL,375.851989,360,135.306716,67.687202,141730.123543,12393.053181
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-08-15,BUY,420.009888,322,135.243184,67.587798,141527.292561,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-09-09,SELL,407.036370,322,131.065711,65.565638,137286.341998,-4443.781545
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-09-13,BUY,426.042902,305,129.943085,64.939073,137091.459840,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-10-08,SELL,410.694544,305,125.261836,62.662249,132349.887989,-4936.454009
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-10-23,BUY,431.075415,294,126.736172,63.336418,132159.815399,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-11-05,SELL,408.165810,294,120.000748,60.030389,125367.727132,-6982.160856
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-11-13,BUY,421.850835,281,118.540085,59.240422,125189.946626,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-11-18,SELL,414.662560,281,116.520179,58.289234,123112.761724,-2254.965409
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-12-02,BUY,421.780792,276,116.411499,58.176661,122938.173564,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,2024-12-31,SELL,421.289250,276,116.275833,58.167000,122744.408710,-368.353014
2,calendar_duration,continuous_capital,MSFT,MA_Cross,4,2025-05-27,BUY,456.708251,259,118.287437,59.114161,122567.007111,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,4,2025-07-01,SELL,491.803963,259,127.377226,63.720473,131588.533404,8844.124695
2,calendar_duration,continuous_capital,SPY,MA_Cross,0,2023-01-13,BUY,393.816805,239,94.122216,47.037589,99858.840194,0.000000
2,calendar_duration,continuous_capital,SPY,MA_Cross,0,2023-03-20,SELL,390.604588,239,93.354496,46.700599,99044.803349,-955.196651
2,calendar_duration,continuous_capital,SPY,MA_Cross,0,2023-04-03,BUY,409.054431,229,93.673465,46.813326,98904.316558,0.000000
2,calendar_duration,continuous_capital,SPY,MA_Cross,0,2023-06-30,SELL,443.058359,229,101.460364,50.755560,106636.568957,7591.765608
2,calendar_duration,continuous_capital,SPY,MA_Cross,4,2025-05-29,BUY,593.356528,172,102.057323,51.003160,106483.508474,0.000000
2,calendar_duration,continuous_capital,SPY,MA_Cross,4,2025-07-01,SELL,617.341199,172,106.182686,53.117902,110553.692505,3917.123548
