rebalance_id,date,ticker,side,quantity,price,transaction_cost,slippage_cost
0,2020-01-03,AAPL,BUY,263,74.324642,19.547381,9.768806
0,2020-01-03,MSFT,BUY,123,158.399167,19.483098,9.736680
0,2020-01-03,SPY,BUY,60,321.320584,19.279235,9.634800
0,2020-01-03,TSLA,BUY,666,29.381350,19.567979,9.779100
0,2020-01-03,BTC-USD,BUY,2,6987.920925,13.975842,6.984429
1,2020-02-03,TSLA,SELL,155,44.890210,6.957983,3.480732
1,2020-02-03,AAPL,BUY,38,76.113034,2.892295,1.445425
1,2020-02-03,MSFT,BUY,11,170.515208,1.875667,0.937365
1,2020-02-03,SPY,BUY,10,323.511681,3.235117,1.616750
2,2020-03-02,AAPL,SELL,69,70.534715,4.866895,2.434665
2,2020-03-02,MSFT,SELL,35,165.227343,5.782957,2.892925
2,2020-03-02,SPY,SELL,15,298.060886,4.470913,2.236575
2,2020-03-02,TSLA,SELL,166,47.393623,7.867341,3.935639
2,2020-03-02,BTC-USD,BUY,3,8567.546281,25.702639,12.844897
3,2020-04-01,TSLA,SELL,5,33.583198,0.167916,0.084000
3,2020-04-01,BTC-USD,SELL,2,6434.100676,12.868201,6.437319
3,2020-04-01,AAPL,BUY,80,61.655812,4.932465,2.465000
3,2020-04-01,MSFT,BUY,22,153.076500,3.367683,1.683000
3,2020-04-01,SPY,BUY,35,248.103986,8.683640,4.339650
4,2020-05-01,TSLA,SELL,39,50.308165,1.962018,0.981500
4,2020-05-01,BTC-USD,SELL,1,8668.445835,8.668446,4.336391
4,2020-05-01,AAPL,BUY,39,71.598281,2.792333,1.395469
4,2020-05-01,MSFT,BUY,16,175.887903,2.814206,1.406400
4,2020-05-01,SPY,BUY,13,285.452653,3.710884,1.854515
5,2020-06-01,AAPL,SELL,40,79.397781,3.175911,1.588750
5,2020-06-01,MSFT,SELL,10,182.448723,1.824487,0.912700
5,2020-06-01,SPY,SELL,12,303.468185,3.641618,1.821720
5,2020-06-01,TSLA,SELL,38,57.171401,2.172513,1.086800
5,2020-06-01,BTC-USD,BUY,1,9468.337271,9.468337,4.731803
6,2020-07-01,TSLA,SELL,66,72.163897,4.762817,2.382600
6,2020-07-01,AAPL,BUY,13,91.325639,1.187233,0.593320
6,2020-07-01,MSFT,BUY,13,203.241569,2.642140,1.320410
6,2020-07-01,SPY,BUY,11,309.724792,3.406973,1.702635
7,2020-08-03,AAPL,SELL,61,108.145897,6.596900,3.300100
7,2020-08-03,TSLA,SELL,51,96.565028,4.924816,2.463640
7,2020-08-03,MSFT,BUY,19,211.625764,4.020890,2.009440
7,2020-08-03,SPY,BUY,23,328.484167,7.555136,3.775680
8,2020-09-01,AAPL,SELL,33,132.693615,4.378889,2.190540
8,2020-09-01,TSLA,SELL,61,167.296315,10.205075,5.105090
8,2020-09-01,SPY,BUY,42,350.385096,14.716174,7.354410
9,2020-10-01,AAPL,SELL,26,117.581179,3.057111,1.529320
9,2020-10-01,MSFT,SELL,11,213.383260,2.347216,1.174195
9,2020-10-01,TSLA,SELL,7,146.846538,1.027926,0.514220
9,2020-10-01,SPY,BUY,19,337.858847,6.419318,3.208055
10,2020-11-02,SPY,SELL,7,330.034912,2.310244,1.155700
10,2020-11-02,AAPL,BUY,7,109.164556,0.764152,0.381885
10,2020-11-02,MSFT,BUY,5,204.392138,1.021961,0.510725
10,2020-11-02,TSLA,BUY,4,131.398995,0.525596,0.262667
11,2020-12-01,BTC-USD,SELL,1,19623.952646,19.623953,9.816885
11,2020-12-01,AAPL,BUY,61,121.070507,7.385301,3.690805
11,2020-12-01,MSFT,BUY,38,214.617250,8.155455,4.075690
11,2020-12-01,SPY,BUY,9,365.752792,3.291775,1.645065
11,2020-12-01,TSLA,BUY,3,199.296269,0.597889,0.298795
12,2021-01-04,BTC-USD,SELL,1,32794.543744,32.794544,16.405475
12,2021-01-04,AAPL,BUY,31,133.586764,4.141190,2.069560
12,2021-01-04,MSFT,BUY,45,222.641264,10.018857,5.006925
12,2021-01-04,SPY,BUY,39,375.497653,14.644408,7.318545
12,2021-01-04,TSLA,BUY,15,239.939917,3.599099,1.798650
13,2021-02-01,MSFT,SELL,2,234.942468,0.469885,0.235060
13,2021-02-01,TSLA,SELL,16,271.294278,4.340708,2.171440
13,2021-02-01,AAPL,BUY,9,133.816875,1.204352,0.601875
13,2021-02-01,SPY,BUY,11,373.906861,4.112975,2.055460
18,2021-07-01,MSFT,SELL,2,269.475180,0.538950,0.269610
18,2021-07-01,AAPL,BUY,3,136.668306,0.410005,0.204900
19,2021-08-02,SPY,SELL,12,440.119826,5.281438,2.642040
19,2021-08-02,AAPL,BUY,17,146.433181,2.489364,1.244060
19,2021-08-02,MSFT,BUY,1,286.503165,0.286503,0.143180
19,2021-08-02,TSLA,BUY,10,233.449995,2.334500,1.166667
21,2021-10-01,SPY,SELL,1,430.764521,0.430765,0.215490
21,2021-10-01,AAPL,BUY,1,141.970944,0.141971,0.070950
21,2021-10-01,TSLA,BUY,1,259.596408,0.259596,0.129733
22,2021-11-01,MSFT,SELL,23,331.194305,7.617469,3.810640
22,2021-11-01,AAPL,BUY,28,149.064500,4.173806,2.085860
22,2021-11-01,SPY,BUY,8,460.530138,3.684241,1.841200
23,2021-12-01,TSLA,SELL,18,386.706544,6.960718,3.482100
23,2021-12-01,AAPL,BUY,16,167.563736,2.681020,1.339840
23,2021-12-01,MSFT,BUY,2,335.297570,0.670595,0.335130
23,2021-12-01,SPY,BUY,7,461.870835,3.233096,1.615740
24,2022-01-03,TSLA,SELL,7,382.392052,2.676744,1.339042
24,2022-01-03,AAPL,BUY,3,177.918917,0.533757,0.266745
24,2022-01-03,MSFT,BUY,2,335.517681,0.671035,0.335350
24,2022-01-03,SPY,BUY,3,476.538138,1.429614,0.714450
25,2022-02-01,AAPL,SELL,35,173.922990,6.087305,3.045175
25,2022-02-01,SPY,SELL,6,450.454653,2.702728,1.352040
25,2022-02-01,MSFT,BUY,7,310.565209,2.173956,1.086435
25,2022-02-01,TSLA,BUY,9,311.892532,2.807033,1.402815
26,2022-03-01,MSFT,SELL,8,296.251794,2.370014,1.185600
26,2022-03-01,SPY,SELL,5,434.822489,2.174112,1.087600
26,2022-03-01,AAPL,BUY,35,164.782347,5.767382,2.882250
26,2022-03-01,TSLA,BUY,10,290.038288,2.900383,1.449467
27,2022-04-01,SPY,SELL,9,453.083343,4.077750,2.039895
27,2022-04-01,AAPL,BUY,20,174.117014,3.482340,1.740300
27,2022-04-01,TSLA,BUY,1,360.563523,0.360564,0.180192
28,2022-05-02,MSFT,SELL,19,277.571136,5.273852,2.638245
28,2022-05-02,SPY,SELL,23,411.863972,9.472871,4.738805
28,2022-05-02,AAPL,BUY,5,156.788362,0.783942,0.391775
28,2022-05-02,TSLA,BUY,19,287.066802,5.454269,2.725772
29,2022-06-01,AAPL,SELL,42,149.825044,6.292652,3.147900
29,2022-06-01,SPY,SELL,7,414.962428,2.904737,1.453095
29,2022-06-01,MSFT,BUY,12,275.337612,3.304051,1.651200
29,2022-06-01,TSLA,BUY,7,251.845861,1.762921,0.881020
30,2022-07-01,SPY,SELL,6,376.371718,2.258230,1.129680
30,2022-07-01,AAPL,BUY,2,136.108013,0.272216,0.136040
30,2022-07-01,TSLA,BUY,3,227.113500,0.681341,0.340500
31,2022-08-01,AAPL,SELL,19,160.929490,3.057660,1.529595
31,2022-08-01,TSLA,SELL,20,301.126034,6.022521,3.012767
31,2022-08-01,MSFT,BUY,12,277.958917,3.335507,1.666920
31,2022-08-01,SPY,BUY,8,409.354569,3.274837,1.636600
32,2022-09-01,MSFT,SELL,15,258.740560,3.881108,1.941525
32,2022-09-01,SPY,SELL,10,392.693570,3.926936,1.964450
32,2022-09-01,AAPL,BUY,9,156.718319,1.410465,0.704880
32,2022-09-01,TSLA,BUY,12,272.716277,3.272595,1.635480
33,2022-10-03,AAPL,SELL,7,138.140902,0.966986,0.483735
33,2022-10-03,MSFT,BUY,7,235.527709,1.648694,0.823935
33,2022-10-03,SPY,BUY,2,361.260527,0.722521,0.361080
33,2022-10-03,TSLA,BUY,7,254.627250,1.782391,0.890750
34,2022-11-01,AAPL,SELL,46,155.002462,7.130113,3.566840
34,2022-11-01,MSFT,SELL,6,234.482706,1.406896,0.703800
34,2022-11-01,SPY,SELL,13,389.944945,5.069284,2.535910
34,2022-11-01,TSLA,BUY,23,234.167028,5.385842,2.691575
35,2022-12-01,MSFT,SELL,21,253.743060,5.328604,2.665635
35,2022-12-01,AAPL,BUY,2,148.284112,0.296568,0.148210
35,2022-12-01,TSLA,BUY,20,197.178542,3.943571,1.970800
35,2022-12-01,BTC-USD,BUY,1,17176.585954,17.176586,8.584001
36,2023-01-03,MSFT,SELL,14,242.958462,3.401418,1.701560
36,2023-01-03,AAPL,BUY,11,130.345139,1.433797,0.716540
36,2023-01-03,SPY,BUY,3,384.562180,1.153687,0.576555
36,2023-01-03,TSLA,BUY,45,118.529236,5.333816,2.665575
37,2023-02-01,TSLA,SELL,89,173.803054,15.468472,7.738105
37,2023-02-01,AAPL,BUY,6,144.041986,0.864252,0.431910
37,2023-02-01,MSFT,BUY,20,248.124000,4.962480,2.480000
37,2023-02-01,SPY,BUY,12,405.412596,4.864951,2.431260
38,2023-03-01,TSLA,SELL,25,206.106902,5.152673,2.577625
38,2023-03-01,AAPL,BUY,33,146.903417,4.847813,2.422695
38,2023-03-01,MSFT,BUY,2,250.885375,0.501771,0.250760
38,2023-03-01,SPY,BUY,22,395.607709,8.703370,4.349510
39,2023-04-03,MSFT,SELL,4,286.376729,1.145507,0.573040
39,2023-04-03,AAPL,BUY,3,164.352139,0.493056,0.246405
39,2023-04-03,TSLA,BUY,1,200.009959,0.200010,0.099955
40,2023-05-01,MSFT,SELL,28,306.816516,8.590862,4.297580
40,2023-05-01,AAPL,BUY,12,169.364639,2.032376,1.015680
40,2023-05-01,SPY,BUY,7,415.677736,2.909744,1.454145
40,2023-05-01,TSLA,BUY,23,163.251583,3.754786,1.876455
41,2023-06-01,MSFT,SELL,7,325.767028,2.280369,1.140755
41,2023-06-01,AAPL,BUY,7,177.788847,1.244522,0.621950
41,2023-06-01,TSLA,BUY,6,202.691291,1.216148,0.607770
42,2023-07-03,MSFT,SELL,1,339.020407,0.339020,0.169595
42,2023-07-03,TSLA,SELL,16,276.351745,4.421628,2.211920
42,2023-07-03,AAPL,BUY,1,193.876889,0.193877,0.096890
42,2023-07-03,SPY,BUY,10,443.141473,4.431415,2.214600
43,2023-08-01,MSFT,SELL,1,335.022407,0.335022,0.167595
43,2023-08-01,TSLA,SELL,6,266.126880,1.596761,0.798780
43,2023-08-01,AAPL,BUY,1,196.338125,0.196338,0.098120
43,2023-08-01,SPY,BUY,4,456.498124,1.825992,0.912540
44,2023-09-01,AAPL,SELL,44,189.395260,8.333391,4.168780
44,2023-09-01,TSLA,SELL,6,257.131380,1.542788,0.771780
44,2023-09-01,MSFT,BUY,4,331.475653,1.325903,0.662620
44,2023-09-01,SPY,BUY,19,453.396598,8.614535,4.305115
45,2023-10-02,AAPL,SELL,8,171.134391,1.369075,0.684880
45,2023-10-02,MSFT,BUY,3,316.438139,0.949314,0.474420
46,2023-11-01,SPY,SELL,4,418.990412,1.675962,0.838400
46,2023-11-01,AAPL,BUY,5,171.085500,0.855428,0.427500
46,2023-11-01,MSFT,BUY,2,339.959904,0.679920,0.339790
46,2023-11-01,TSLA,BUY,3,204.142013,0.612426,0.306060
47,2023-12-01,SPY,SELL,4,455.542104,1.822168,0.911540
47,2023-12-01,AAPL,BUY,6,190.425167,1.142551,0.570990
47,2023-12-01,TSLA,BUY,1,233.256569,0.233257,0.116570
48,2024-01-02,BTC-USD,SELL,1,44165.047055,44.165047,22.093570
48,2024-01-02,AAPL,BUY,139,187.243569,26.026856,13.006925
48,2024-01-02,MSFT,BUY,29,374.046915,10.847361,5.420970
48,2024-01-02,SPY,BUY,1,472.396084,0.472396,0.236080
48,2024-01-02,TSLA,BUY,26,250.205042,6.505331,3.251040
49,2024-02-01,AAPL,SELL,81,183.898010,14.895739,7.451595
49,2024-02-01,MSFT,BUY,5,402.030902,2.010155,1.004575
49,2024-02-01,SPY,BUY,16,484.872320,7.757957,3.877040
49,2024-02-01,TSLA,BUY,27,188.594250,5.092045,2.544750
50,2024-03-01,AAPL,BUY,2,179.639778,0.359280,0.179550
51,2024-04-01,AAPL,BUY,1,171.275597,0.171276,0.085595
52,2024-05-01,TSLA,SELL,4,181.909000,0.727636,0.364000
52,2024-05-01,AAPL,BUY,2,169.664792,0.339330,0.169580
53,2024-06-03,AAPL,SELL,23,192.803544,4.434482,2.218350
53,2024-06-03,MSFT,BUY,2,415.737764,0.831476,0.415530
53,2024-06-03,SPY,BUY,6,529.284530,3.175707,1.587060
53,2024-06-03,TSLA,BUY,3,178.219070,0.534657,0.267195
54,2024-07-01,AAPL,SELL,75,211.983951,15.898796,7.953375
