path,total_return,terminal_wealth,max_drawdown,sharpe
718,2.89928,389928,-0.206375,1.26493
719,1.48501,248501,-0.236781,0.914335
720,2.14135,314135,-0.19975,1.14151
721,1.99736,299736,-0.232086,1.03903
722,0.583175,158317,-0.364669,0.499274
723,2.97347,397347,-0.244242,1.36925
724,-0.307233,69276.7,-0.433872,-0.231752
725,2.34284,334284,-0.217523,1.14954
726,1.38493,238493,-0.26252,0.880904
727,0.31771,131771,-0.271399,0.349491
728,0.431085,143108,-0.311363,0.428351
729,0.730177,173018,-0.239943,0.603352
730,1.05505,205505,-0.351317,0.723486
731,1.31871,231871,-0.171175,0.84311
732,0.672287,167229,-0.307908,0.545962
733,0.471749,147175,-0.334194,0.430017
734,1.1538,215380,-0.240423,0.743237
735,0.127263,112726,-0.3564,0.200041
736,0.502942,150294,-0.418579,0.445234
737,0.817127,181713,-0.307917,0.641449
738,1.46842,246842,-0.247148,0.94093
739,0.638314,163831,-0.242597,0.531727
740,2.60035,360035,-0.184613,1.29832
741,0.0781297,107813,-0.387631,0.160821
742,1.02519,202519,-0.325774,0.736292
743,0.261627,126163,-0.324291,0.298118
744,0.193737,119374,-0.399425,0.251394
745,0.875875,187587,-0.328568,0.6238
746,0.869049,186905,-0.271745,0.648166
747,2.85042,385042,-0.254318,1.3114
748,0.885986,188599,-0.407284,0.609765
749,1.05134,205134,-0.219138,0.728856
750,1.30814,230814,-0.199695,0.869049
751,0.6673,166730,-0.325296,0.550212
752,1.9179,291790,-0.265796,1.05932
753,3.39103,439103,-0.17779,1.42867
754,1.81904,281904,-0.267391,1.09765
755,1.60748,260748,-0.338839,0.915345
756,-0.441686,55831.4,-0.590204,-0.44389
757,0.151564,115156,-0.358124,0.220043
758,1.43226,243226,-0.20081,0.881745
759,-0.226576,77342.4,-0.548431,-0.122789
760,2.59378,359378,-0.267289,1.20665
761,2.325,332500,-0.187002,1.20156
762,0.315017,131502,-0.334677,0.336703
763,0.218622,121862,-0.404439,0.27358
764,1.21607,221607,-0.28787,0.818959
765,-0.0735039,92649.6,-0.294589,0.023538
766,2.83392,383392,-0.182264,1.25014
767,0.746376,174638,-0.208597,0.595659
768,2.02193,302193,-0.262667,1.15671
769,4.468,546800,-0.149333,1.51878
770,1.68485,268485,-0.278614,1.00842
771,4.66515,566515,-0.151473,1.62997
772,1.68829,268829,-0.184883,0.936814
773,1.08114,208114,-0.322053,0.726612
774,0.982023,198202,-0.234521,0.716234
775,0.464635,146464,-0.494929,0.420223
776,0.978423,197842,-0.274827,0.706735
777,0.440496,144050,-0.259246,0.420782
778,0.906087,190609,-0.281356,0.671042
779,2.61816,361816,-0.253396,1.1781
780,2.08278,308278,-0.256866,1.06906
781,0.912563,191256,-0.36405,0.667972
782,1.12603,212603,-0.25743,0.769698
783,-0.0509542,94904.6,-0.332658,0.0582741
784,1.2064,220640,-0.19788,0.838701
785,2.66408,366408,-0.276701,1.24246
786,2.40851,340851,-0.202049,1.21448
787,1.19,219000,-0.263884,0.780171
788,0.495927,149593,-0.228397,0.466904
789,2.92692,392692,-0.182664,1.31036
790,2.4246,342460,-0.261438,1.29804
791,1.03033,203033,-0.265279,0.727954
792,1.62261,262261,-0.266341,0.941416
793,1.88693,288693,-0.211801,0.998814
794,2.30508,330508,-0.174489,1.22303
795,3.03726,403726,-0.358374,1.36438
796,1.15123,215123,-0.180198,0.792923
797,1.95102,295102,-0.267903,1.02338
798,1.40561,240561,-0.19205,0.836866
799,3.24301,424301,-0.28909,1.33705
800,0.723601,172360,-0.457003,0.567252
801,0.333716,133372,-0.394939,0.344885
802,0.919482,191948,-0.189323,0.686603
803,1.16387,216387,-0.289982,0.818407
804,1.9392,293920,-0.190704,1.08396
805,0.454835,145483,-0.350627,0.424455
806,1.05157,205157,-0.240667,0.764805
807,1.13096,213096,-0.224129,0.751388
808,0.372498,137250,-0.336721,0.379645
809,0.524499,152450,-0.510412,0.463375
810,0.45398,145398,-0.28521,0.448335
811,0.517593,151759,-0.311235,0.454037
812,0.274623,127462,-0.435476,0.311466
813,3.20035,420035,-0.29452,1.37845
814,1.42058,242058,-0.158874,0.883399
815,3.11176,411176,-0.298395,1.27574
816,-0.386624,61337.6,-0.636623,-0.352844
817,1.7202,272020,-0.310612,1.01717
818,1.9254,292540,-0.21328,0.961387
819,0.0729008,107290,-0.518785,0.157792
820,1.36828,236828,-0.26797,0.87104
821,3.12957,412957,-0.247257,1.32621
822,2.04959,304959,-0.255793,1.0283
823,0.59425,159425,-0.247306,0.503823
824,0.242275,124227,-0.38316,0.283679
825,0.263657,126366,-0.40113,0.2948
826,0.761692,176169,-0.325268,0.614617
827,0.962232,196223,-0.360109,0.688458
828,1.91579,291579,-0.328261,1.04801
829,1.15432,215432,-0.308509,0.759818
830,2.55677,355677,-0.337005,1.17158
831,2.95538,395538,-0.192871,1.30864
832,-0.0724121,92758.8,-0.385638,0.0243367
833,4.77154,577154,-0.134565,1.6159
834,1.28394,228394,-0.261453,0.816376
835,2.58438,358438,-0.173837,1.19174
836,-0.0416784,95832.2,-0.467689,0.0557367
837,2.09019,309019,-0.306719,1.06347
838,1.96387,296387,-0.257208,1.05445
839,0.767506,176751,-0.38323,0.579067
840,4.20632,520632,-0.274232,1.52413
841,1.14368,214368,-0.412681,0.761531
842,-0.574065,42593.5,-0.655707,-0.604285
843,0.958242,195824,-0.343693,0.709584
844,1.53584,253584,-0.174662,0.935434
845,1.55309,255309,-0.300467,0.913274
846,2.73224,373224,-0.203561,1.24156
847,1.55811,255811,-0.19832,0.914055
848,0.245748,124575,-0.335493,0.286209
849,0.270098,127010,-0.389648,0.303961
850,0.0164771,101648,-0.40061,0.100366
851,1.46037,246037,-0.239997,0.868489
852,0.665777,166578,-0.259567,0.567143
853,0.817718,181772,-0.299749,0.631593
854,0.882468,188247,-0.295842,0.677595
855,0.596381,159638,-0.363966,0.516489
856,0.742985,174298,-0.353434,0.589603
857,0.35856,135856,-0.326752,0.361023
858,0.217209,121721,-0.309944,0.266843
859,2.10588,310588,-0.316082,1.09433
860,2.36322,336322,-0.253881,1.18098
861,1.10703,210703,-0.327107,0.768356
862,1.20939,220939,-0.258141,0.769443
863,0.000403224,100040,-0.447615,0.100828
864,0.76014,176014,-0.202316,0.580543
865,0.892599,189260,-0.283201,0.681576
866,0.800802,180080,-0.326646,0.631402
867,1.67726,267726,-0.219782,1.00005
868,2.5293,352930,-0.26976,1.2698
869,1.69356,269356,-0.242075,0.944796
870,2.87284,387284,-0.23654,1.23787
871,1.0299,202990,-0.304337,0.742159
872,1.28571,228571,-0.305409,0.812034
873,1.38953,238953,-0.429804,0.860733
874,-0.341955,65804.5,-0.383013,-0.279633
875,0.626509,162651,-0.382176,0.509968
876,0.571734,157173,-0.292798,0.482882
877,1.54992,254992,-0.233407,0.870103
878,0.630509,163051,-0.252905,0.548616
879,0.164489,116449,-0.555119,0.227455
880,0.981744,198174,-0.26987,0.715308
881,2.1574,315740,-0.214409,1.13159
882,0.800783,180078,-0.168064,0.622124
883,6.187,718700,-0.144734,1.9827
884,3.00442,400442,-0.20498,1.40576
885,1.6014,260140,-0.194114,0.944041
886,9.4918,1.04918e+06,-0.205095,2.12278
887,0.747905,174790,-0.239577,0.57721
888,0.393124,139312,-0.311974,0.393038
889,1.81439,281439,-0.238718,1.03372
890,2.00859,300859,-0.393518,1.07138
891,0.617373,161737,-0.262388,0.527013
892,0.331863,133186,-0.322399,0.361182
