result,legacy_macos_value,migrated_value,absolute_difference,threshold,legacy_band,migrated_band,band_changed,release_relevant,interpretation
tsla_macd_family,0.0649351,0.0589411,0.0059940,0.05,do_not_reject,do_not_reject,0,1,historical methodology migration; migrated value is canonical
tsla_macd_combined,0.0569431,0.0559441,0.0009990,0.05,do_not_reject,do_not_reject,0,1,historical methodology migration; migrated value is canonical
tsla_macd_zero_cost,0.0519481,0.0509491,0.0009990,0.05,do_not_reject,do_not_reject,0,1,historical methodology migration; migrated value is canonical
tsla_macd_high_cost,0.0709291,0.0729271,0.0019980,0.05,do_not_reject,do_not_reject,0,1,historical methodology migration; migrated value is canonical
tsla_regime_bull_low_volatility,0.0389610,0.0209790,0.0179820,0.05,reject,reject,0,0,historical methodology migration; migrated value is canonical
momentum_probability_positive_active,0.4780000,0.5080000,0.0300000,0.5,below_even_odds,above_even_odds,1,1,historical methodology migration; migrated value is canonical
momentum_probability_sharpe_positive,0.9230000,0.9490000,0.0260000,0.95,inconclusive,inconclusive,0,1,historical methodology migration; migrated value is canonical
equal_weight_probability_sharpe_exceeds_benchmark,0.9450000,0.9490000,0.0040000,0.95,inconclusive,inconclusive,0,1,historical methodology migration; migrated value is canonical
